Clave,Fecha,Almacenamiento
ARCSO,2006-10-26,750.45
PMOSO,2006-10-26,13.21
ARLSO,2006-10-26,31.63
CHTSO,2006-10-26,18.57
IRASO,2006-10-26,10.76
CHTSO,2006-10-27,18.57
ARLSO,2006-10-27,31.24
PMOSO,2006-10-27,13.27
ARCSO,2006-10-27,752.71
AGZCH,2006-10-27,85.12
AOBSO,2006-10-27,1647.44
PECSO,2006-10-27,2320.63
LCDSO,2006-10-27,754.91
IRASO,2006-10-27,10.72
LCDSO,2006-10-28,754.51
PECSO,2006-10-28,2315.16
AOBSO,2006-10-28,1654.16
AGZCH,2006-10-28,85.12
ARCSO,2006-10-28,753.84
PMOSO,2006-10-28,13.27
ARLSO,2006-10-28,30.73
CHTSO,2006-10-28,18.54
IRASO,2006-10-28,10.69
CHTSO,2006-10-29,18.45
ARLSO,2006-10-29,30.34
PMOSO,2006-10-29,13.04
ARCSO,2006-10-29,753.84
AGZCH,2006-10-29,85.12
AOBSO,2006-10-29,1659.76
PECSO,2006-10-29,2316.07
LCDSO,2006-10-29,753.71
IRASO,2006-10-29,10.69
LCDSO,2006-10-30,752.93
PECSO,2006-10-30,2315.16
AOBSO,2006-10-30,1662
AGZCH,2006-10-30,85.12
ARCSO,2006-10-30,753.28
PMOSO,2006-10-30,13.36
ARLSO,2006-10-30,29.69
CHTSO,2006-10-30,18.45
IRASO,2006-10-30,10.67
CHTSO,2006-10-31,18.39
ARLSO,2006-10-31,29.18
PMOSO,2006-10-31,13.36
ARCSO,2006-10-31,752.71
AGZCH,2006-10-31,85.12
AOBSO,2006-10-31,1662
PECSO,2006-10-31,2311.51
LCDSO,2006-10-31,752.15
IRASO,2006-10-31,10.64
LCDSO,2006-11-01,751.76
PECSO,2006-11-01,2307.87
AOBSO,2006-11-01,1662
AGZCH,2006-11-01,85.12
ARCSO,2006-11-01,751.58
PMOSO,2006-11-01,13.33
ARLSO,2006-11-01,28.79
CHTSO,2006-11-01,18.39
IRASO,2006-11-01,10.61
CHTSO,2006-11-02,18.39
ARLSO,2006-11-02,28.4
PMOSO,2006-11-02,13.43
ARCSO,2006-11-02,750.45
AGZCH,2006-11-02,85.12
AOBSO,2006-11-02,1662
PECSO,2006-11-02,2300.6
LCDSO,2006-11-02,751.37
IRASO,2006-11-02,10.59
LCDSO,2006-11-03,750.98
PECSO,2006-11-03,2296.98
AOBSO,2006-11-03,1662
AGZCH,2006-11-03,85.12
ARCSO,2006-11-03,748.76
PMOSO,2006-11-03,13.45
ARLSO,2006-11-03,27.88
CHTSO,2006-11-03,18.39
IRASO,2006-11-03,10.56
CHTSO,2006-11-04,18.39
ARLSO,2006-11-04,27.5
PMOSO,2006-11-04,13.45
ARCSO,2006-11-04,746.5
AGZCH,2006-11-04,85.12
AOBSO,2006-11-04,1660.88
PECSO,2006-11-04,2290.64
LCDSO,2006-11-04,750.6
IRASO,2006-11-04,10.54
LCDSO,2006-11-05,750.6
PECSO,2006-11-05,2287.93
AOBSO,2006-11-05,1660.88
AGZCH,2006-11-05,85.12
ARCSO,2006-11-05,743.68
PMOSO,2006-11-05,13.45
ARLSO,2006-11-05,27.11
CHTSO,2006-11-05,18.39
IRASO,2006-11-05,10.54
CHTSO,2006-11-06,18.36
ARLSO,2006-11-06,26.72
PMOSO,2006-11-06,13.45
ARCSO,2006-11-06,739.72
AGZCH,2006-11-06,85.12
AOBSO,2006-11-06,1657.52
PECSO,2006-11-06,2287.02
LCDSO,2006-11-06,750.6
IRASO,2006-11-06,10.51
LCDSO,2006-11-07,750.21
PECSO,2006-11-07,2285.22
AOBSO,2006-11-07,1650.8
AGZCH,2006-11-07,85.06
ARCSO,2006-11-07,736.34
PMOSO,2006-11-07,13.47
ARLSO,2006-11-07,26.33
CHTSO,2006-11-07,18.33
IRASO,2006-11-07,10.49
CHTSO,2006-11-08,18.27
ARLSO,2006-11-08,25.95
PMOSO,2006-11-08,13.54
ARCSO,2006-11-08,732.38
AGZCH,2006-11-08,85.06
AOBSO,2006-11-08,1641.84
PECSO,2006-11-08,2282.51
LCDSO,2006-11-08,749.82
IRASO,2006-11-08,10.46
LCDSO,2006-11-09,749.43
PECSO,2006-11-09,2278
AOBSO,2006-11-09,1635.12
AGZCH,2006-11-09,85
ARCSO,2006-11-09,727.87
PMOSO,2006-11-09,13.62
ARLSO,2006-11-09,25.56
CHTSO,2006-11-09,18.24
IRASO,2006-11-09,10.43
CHTSO,2006-11-10,18.21
ARLSO,2006-11-10,25.17
PMOSO,2006-11-10,13.62
ARCSO,2006-11-10,723.91
AGZCH,2006-11-10,85
AOBSO,2006-11-10,1622.8
PECSO,2006-11-10,2272.6
LCDSO,2006-11-10,749.04
IRASO,2006-11-10,10.41
LCDSO,2006-11-11,748.65
PECSO,2006-11-11,2269.9
